过几次,22,7,4,1.2618315678756822,0.760755259244303,7.10965883408004
看你视频,36,11,12,2.252728336819822,2.425479708432719,29.7550568239871
相关部门,22,9,8,2.044931174849591,1.8762735844302756,325.08683999827406
新年快乐,80,15,6,1.9812594695982368,1.6769877743224173,722.1889882782982
橙子大,29,6,4,1.2000873227678652,0.9280452245858335,8.523771711803855
管理员,101,8,6,1.4780853481675673,1.5144441390230288,240.21151468852003
学习交流,24,9,4,1.977006172908861,1.213007565979904,99.3906481780071
籽岷大,80,11,4,2.0785011916335865,0.25050128188786847,15.92873912773134
绝大多数,23,5,4,1.6094379124341003,0.6598720137848271,276.88074211502783
粉奶奶,97,13,18,2.4254395062627934,2.618569208687917,392.02955130172063
站起来,173,12,5,1.8582933542046884,1.2280561956148346,129.68410822169685
笔记本,48,8,4,1.4642601092701728,1.3862943611198906,249.29351359275822
适合演,28,4,15,1.310783678099714,2.536220969470581,76.65890178298595
零零落落,38,7,9,0.8587543173837986,1.2014816819517358,3528.453348597596
给人一种,23,6,9,1.5810937501718239,1.729722341528714,497.04383676903655
逼一样,77,5,10,0.3337419628086429,2.20478541691352,12.180597958006652
逼东西,30,4,5,0.874435957580153,1.6094379124341003,5.43398158479552
逼你看,33,6,6,1.2051640162438098,1.791759469228055,19.126996935639017
一起交流,164,7,7,0.8805245552840453,1.234808054626105,55.94873656694743
赞赞赞赞,2073,11,9,0.06262747989195372,0.04122518917252638,78.6178716803016
逼傻逼,840,6,13,0.06803198470596694,0.1590669724746192,77.89549415971997
傻逼节目,28,6,5,1.791759469228055,1.4750763110546947,15.137663613369023
地看着,44,9,6,1.927372502981315,1.5448113063793807,8.652151455264104
快点快点,27,14,9,2.1608811098870975,1.7466031597683362,377.68825227384133
黑社会,94,17,19,1.4796421777714168,2.1163873736273793,105.96629183893819
黑暗之,35,4,7,1.3862943611198906,1.0262313419501128,65.99100002936369
橙子姐姐,58,5,16,0.6097320751621673,2.5152409033098406,911.6441996557659
坑爹哥,87,15,16,2.6302533563892636,2.690828621511594,161.7709098017071
淘宝店铺,33,8,10,1.945910149055313,2.220025327834538,2815.8757475083057
黄晓明,106,22,38,2.7738050926060054,3.504810263632058,549.5993681432141
模仿韩,46,12,4,2.36060911398924,0.31273694051467826,240.335480546251
黄景瑜,159,16,20,2.6923109941417853,2.772298453442796,1892.9210160378232
我们国家,81,24,20,2.7837631705414863,2.5566981207105517,37.99899359535775
越觉得,21,7,15,1.528465710061025,2.6302533563892636,7.999155644335938
赞赞赞,2179,18,15,0.09246413981132395,0.07148303913804721,73.467139350628
基本可以,21,4,4,0.9963138503795772,0.9963138503795772,15.444162534053346
浪费时间,91,18,4,1.980619272105832,0.4349442022582588,337.92556929082633
密密麻麻,123,18,13,1.7444408512204257,1.287205443569169,3124.2818043588445
坎坎坷坷,65,17,21,2.160137928583251,2.417326837121182,12478.153846153846
沾沾自喜,25,6,4,1.2467876576316193,1.3862943611198906,810.6533403471856
粉丝群,68,17,16,2.7511022893863717,2.241213299156945,22.179708245549204
国特色,22,4,6,0.6631794532105499,1.6674619334292946,70.7309417087136
麻烦你,44,6,17,1.791759469228055,2.556124686742009,5.344114202114691
地沟油,47,10,4,1.7868124378713326,1.3862943611198906,510.3072858320475
粉丝们,71,9,17,2.1458417525947544,2.37450939861936,14.169406699507045
我们中国,113,26,31,2.8786003676019085,2.3903656301841005,18.875836215564437
穿越到,47,6,7,1.3677377825590764,1.3843718919030876,34.60000878979772
一群傻逼,124,13,20,2.5232109529528914,2.918057526079794,55.15019091404972
我们一起,133,11,33,1.6572659729972385,2.980377591193588,34.09392901253821
转基因,24,6,9,1.732867951399863,1.7897226148176673,623.1718281381635
无论如何,34,5,4,1.3862943611198904,1.073542846408523,28.31891402245374
着欧妮业,64,4,4,1.1640675438363592,1.3589816390000844,17.72487332743147
圣母婊,30,10,5,2.2538575896013517,1.3862943611198904,3777.8598569969354
两分钟广告,54,9,8,2.1972245773362196,1.973001406393613,268.0440057398792
啊啊啊啊,3811,67,46,0.24065808183230253,0.1894893895252956,226.67903622634842
小时候看,24,5,8,1.5607104090414066,1.8143075196071252,10.00679394117514
过任何,65,6,7,1.341544234024738,1.4003920951658562,6.032660364943009
快快乐乐,23,8,7,1.4249913134082715,1.2816340498925647,898.3106965899154
我们可以,106,12,22,1.9284010697594989,2.4620288102696346,7.475001396830765
过几十,25,4,5,0.7201248812718097,1.1050865957723417,6.605899585141214
过几天,28,4,5,1.3321790402101221,0.8131904766573737,6.257528761248195
黑木耳,27,8,5,2.0794415416798357,1.1786549963416462,883.5462971810799
黑曜石,23,8,11,1.9072839993213793,2.3516733019046305,1145.3377926421406
标题党,99,21,12,3.0047670352079594,2.3383717048035724,2261.1308014376227
越看越,118,20,36,2.799768088520818,3.252688361946968,1162.6008062067044
垃圾片,47,7,5,1.7480673485460896,1.4750763110546947,9.63345076865532
正常人,59,6,6,0.7772096817864416,0.854017783925102,9.891810834191313
垃圾货,28,7,4,1.834371970281624,1.3296613488547582,23.16505538209133
管别人,21,6,6,1.732867951399863,1.6769877743224173,14.058073117237011
每一次,73,4,12,0.3866752360725205,2.023554573803584,41.94464491448641
每一集,23,7,6,1.9061547465398494,1.6769877743224173,47.14160825093285
毛主席,70,31,21,3.3719715799284433,2.9713765399690204,1292.4377510401036
国民党,85,32,34,3.3098484632359235,3.464125513738362,308.23288286910343
超级大,39,7,18,1.9061547465398494,2.450869848238715,12.83172015286993
国政府,33,6,20,1.2842688475222945,2.9785084205272376,21.13213966861977
